subject,structural_ok,n_me_epochs,n_mi_epochs,n_usable_matched_pairs,n_unilateral_pairs,n_bilateral_pairs,movements_me,movements_mi,eligible_primary,eligible_min20,eligible_min40,eligible_strict,reason_codes,reason_detail,n_left_fist_me,n_left_fist_mi,n_right_fist_me,n_right_fist_mi,n_both_fists_me,n_both_fists_mi,n_both_feet_me,n_both_feet_mi,usable_pair_ids,e02_left_fist_n_me,e02_left_fist_n_mi,e02_left_fist_n_pairs,e02_left_fist_eligible,e02_left_fist_reasons,e02_right_fist_n_me,e02_right_fist_n_mi,e02_right_fist_n_pairs,e02_right_fist_eligible,e02_right_fist_reasons,e02_both_fists_n_me,e02_both_fists_n_mi,e02_both_fists_n_pairs,e02_both_fists_eligible,e02_both_fists_reasons,e02_both_feet_n_me,e02_both_feet_n_mi,e02_both_feet_n_pairs,e02_both_feet_eligible,e02_both_feet_reasons,e02_unilateral_n_me,e02_unilateral_n_mi,e02_unilateral_n_pairs,e02_unilateral_eligible,e02_unilateral_reasons,e02_bilateral_n_me,e02_bilateral_n_mi,e02_bilateral_n_pairs,e02_bilateral_eligible,e02_bilateral_reasons,strict_all_runs_valid,strict_reasons,expected_left_fist_me,frac_left_fist_me,expected_left_fist_mi,frac_left_fist_mi,expected_right_fist_me,frac_right_fist_me,expected_right_fist_mi,frac_right_fist_mi,expected_both_fists_me,frac_both_fists_me,expected_both_fists_mi,frac_both_fists_mi,expected_both_feet_me,frac_both_feet_me,expected_both_feet_mi,frac_both_feet_mi
11,True,90,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,22,23,22,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,44,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,23.0,0.9565217391304348,23.0,1.0,22.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
12,True,90,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,24,21,21,23,23,22,22,23,03-04|05-06|07-08|09-10|11-12|13-14,24,21,3,True,ELIGIBLE,21,23,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,45,44,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,24.0,1.0,21.0,1.0,21.0,1.0,24.0,0.9583333333333334,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0
13,True,3,17,2,1,1,both_feet|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,False,False,False,False,MOVEMENT_COMPOSITION|INSUFFICIENT_ME_EPOCHS|INSUFFICIENT_MI_EPOCHS,movement composition not represented in both modes; fewer than required ME epochs after rejection; fewer than required MI epochs after rejection,1,6,1,5,0,3,1,3,03-04|05-06,1,6,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,1,5,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,3,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,1,3,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,2,11,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,1,6,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,24.0,0.041666666666666664,23.0,0.2608695652173913,21.0,0.047619047619047616,22.0,0.22727272727272727,24.0,0.0,22.0,0.13636363636363635,21.0,0.047619047619047616,23.0,0.13043478260869565
14,True,89,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,22,23,23,21,24,23,21,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,21,24,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,44,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,21.0,1.0,24.0,1.0,24.0,0.9583333333333334,21.0,1.0
15,True,63,75,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,20,22,11,17,17,18,15,18,03-04|05-06|07-08|09-10|11-12|13-14,20,22,3,True,ELIGIBLE,11,17,3,False,INSUFFICIENT_MOVEMENT_ME,17,18,3,True,ELIGIBLE,15,18,3,True,ELIGIBLE,31,39,3,True,ELIGIBLE,32,36,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.9090909090909091,23.0,0.9565217391304348,23.0,0.4782608695652174,22.0,0.7727272727272727,22.0,0.7727272727272727,22.0,0.8181818181818182,23.0,0.6521739130434783,23.0,0.782608695652174
16,True,90,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,22,22,23,22,24,23,20,03-04|05-06|07-08|09-10|11-12|13-14,23,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,23,20,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,44,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,22.0,1.0,24.0,1.0,23.0,1.0,21.0,0.9523809523809523
17,True,0,0,0,0,0,,,False,False,False,False,INSUFFICIENT_MATCHED_PAIRS|MISSING_UNILATERAL_PAIR|MISSING_BILATERAL_PAIR|INSUFFICIENT_ME_EPOCHS|INSUFFICIENT_MI_EPOCHS,fewer than two usable matched ME/MI pairs; no usable unilateral matched pair; no usable bilateral matched pair; fewer than required ME epochs after rejection; fewer than required MI epochs after rejection,0,0,0,0,0,0,0,0,,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.0,23.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,24.0,0.0,23.0,0.0,21.0,0.0
18,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,22,23,23,24,22,21,23,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,24,22,3,True,ELIGIBLE,21,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,23.0,1.0
19,True,85,83,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,22,22,20,20,22,19,21,22,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,20,20,3,True,ELIGIBLE,22,19,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,42,42,3,True,ELIGIBLE,43,41,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,24.0,0.9166666666666666,23.0,0.9565217391304348,21.0,0.9523809523809523,22.0,0.9090909090909091,22.0,1.0,22.0,0.8636363636363636,23.0,0.9130434782608695,23.0,0.9565217391304348
20,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,21,23,24,22,21,23,24,22,03-04|05-06|07-08|09-10|11-12|13-14,21,23,3,True,ELIGIBLE,24,22,3,True,ELIGIBLE,21,23,3,True,ELIGIBLE,24,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,21.0,1.0,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,23.0,1.0,24.0,1.0,22.0,1.0
21,True,75,52,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,15,10,16,8,22,18,22,16,03-04|05-06|07-08|09-10|11-12|13-14,15,10,3,False,INSUFFICIENT_MOVEMENT_MI,16,8,2,False,INSUFFICIENT_MOVEMENT_MI,22,18,3,True,ELIGIBLE,22,16,3,True,ELIGIBLE,31,18,3,True,ELIGIBLE,44,34,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,24.0,0.625,24.0,0.4166666666666667,21.0,0.7619047619047619,21.0,0.38095238095238093,22.0,1.0,22.0,0.8181818181818182,23.0,0.9565217391304348,20.0,0.8
22,True,15,40,3,2,1,both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,False,False,False,False,MOVEMENT_COMPOSITION|INSUFFICIENT_ME_EPOCHS,movement composition not represented in both modes; fewer than required ME epochs after rejection,6,13,8,13,1,7,0,7,03-04|05-06|07-08,6,13,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,8,13,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,1,7,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,7,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,14,26,2,False,INSUFFICIENT_MOVEMENT_ME,1,14,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.2608695652173913,22.0,0.5909090909090909,22.0,0.36363636363636365,23.0,0.5652173913043478,22.0,0.045454545454545456,21.0,0.3333333333333333,23.0,0.0,24.0,0.2916666666666667
23,True,45,42,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,10,13,10,7,15,13,10,9,03-04|05-06|07-08|09-10|11-12|13-14,10,13,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,10,7,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,15,13,3,False,INSUFFICIENT_MOVEMENT_MI,10,9,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,20,20,3,True,ELIGIBLE,25,22,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.45454545454545453,22.0,0.5909090909090909,23.0,0.43478260869565216,23.0,0.30434782608695654,23.0,0.6521739130434783,23.0,0.5652173913043478,22.0,0.45454545454545453,22.0,0.4090909090909091
24,True,4,1,1,1,0,left_fist|right_fist,left_fist,False,False,False,False,INSUFFICIENT_MATCHED_PAIRS|MISSING_BILATERAL_PAIR|MOVEMENT_COMPOSITION|INSUFFICIENT_ME_EPOCHS|INSUFFICIENT_MI_EPOCHS,fewer than two usable matched ME/MI pairs; no usable bilateral matched pair; movement composition not represented in both modes; fewer than required ME epochs after rejection; fewer than required MI epochs after rejection,2,1,2,0,0,0,0,0,03-04,2,1,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,2,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,4,1,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,18.0,0.1111111111111111,22.0,0.045454545454545456,18.0,0.1111111111111111,23.0,0.0,22.0,0.0,22.0,0.0,23.0,0.0,23.0,0.0
25,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,22,22,23,21,24,24,21,03-04|05-06|07-08|09-10|11-12|13-14,23,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,21,24,3,True,ELIGIBLE,24,21,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,21.0,1.0,24.0,1.0,24.0,1.0,21.0,1.0
26,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,24,22,21,23,21,22,24,03-04|05-06|07-08|09-10|11-12|13-14,23,24,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0
27,True,31,61,5,3,2,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,False,False,ELIGIBLE,eligible under primary rule,10,20,7,19,5,11,9,11,03-04|07-08|09-10|11-12|13-14,10,20,3,False,INSUFFICIENT_MOVEMENT_ME,7,19,2,False,INSUFFICIENT_MOVEMENT_ME,5,11,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,9,11,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,17,39,3,True,ELIGIBLE,14,22,2,False,INSUFFICIENT_MOVEMENT_ME,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,17.0,0.5882352941176471,23.0,0.8695652173913043,15.0,0.4666666666666667,22.0,0.8636363636363636,22.0,0.22727272727272727,22.0,0.5,23.0,0.391304347826087,23.0,0.4782608695652174
28,True,56,59,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,16,14,15,12,17,16,8,17,03-04|05-06|07-08|09-10|11-12|13-14,16,14,3,False,INSUFFICIENT_MOVEMENT_MI,15,12,3,False,INSUFFICIENT_MOVEMENT_MI,17,16,3,True,ELIGIBLE,8,17,3,False,INSUFFICIENT_MOVEMENT_ME,31,26,3,True,ELIGIBLE,25,33,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.6956521739130435,22.0,0.6363636363636364,22.0,0.6818181818181818,23.0,0.5217391304347826,24.0,0.7083333333333334,23.0,0.6956521739130435,21.0,0.38095238095238093,22.0,0.7727272727272727
29,True,90,83,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,22,20,23,18,23,22,22,23,03-04|05-06|07-08|09-10|11-12|13-14,22,20,3,True,ELIGIBLE,23,18,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,45,38,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,22.0,1.0,20.0,1.0,23.0,1.0,18.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0
30,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,24,23,21,22,24,23,21,03-04|05-06|07-08|09-10|11-12|13-14,22,24,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,24.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0,23.0,1.0,21.0,1.0
31,True,88,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,21,22,23,20,23,23,22,03-04|05-06|07-08|09-10|11-12|13-14,23,21,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,20,23,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,45,44,3,True,ELIGIBLE,43,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,22.0,0.9545454545454546,22.0,1.0,23.0,1.0,21.0,0.9523809523809523,23.0,1.0,24.0,0.9583333333333334,22.0,1.0
