subject,condition,in_e01_primary_cohort,epochs_before,epochs_rejected,epochs_retained,rejection_proportion
58,ME,True,90,0,90,0.0
58,MI,True,90,2,88,0.022222222222222223
59,ME,True,90,2,88,0.022222222222222223
59,MI,True,85,0,85,0.0
60,ME,True,90,8,82,0.08888888888888889
60,MI,True,90,3,87,0.03333333333333333
61,ME,True,90,0,90,0.0
61,MI,True,90,1,89,0.011111111111111112
62,ME,True,90,1,89,0.011111111111111112
62,MI,True,84,0,84,0.0
63,ME,True,90,3,87,0.03333333333333333
63,MI,True,90,2,88,0.022222222222222223
64,ME,True,90,0,90,0.0
64,MI,True,90,0,90,0.0
65,ME,True,90,5,85,0.05555555555555555
65,MI,True,90,2,88,0.022222222222222223
66,ME,True,90,1,89,0.011111111111111112
66,MI,True,82,1,81,0.012195121951219513
67,ME,True,90,0,90,0.0
67,MI,True,90,0,90,0.0
68,ME,True,90,2,88,0.022222222222222223
68,MI,True,90,1,89,0.011111111111111112
69,ME,True,90,0,90,0.0
69,MI,True,90,0,90,0.0
70,ME,True,90,0,90,0.0
70,MI,True,90,0,90,0.0
71,ME,True,90,0,90,0.0
71,MI,True,90,0,90,0.0
72,ME,True,90,0,90,0.0
72,MI,True,90,0,90,0.0
73,ME,True,90,0,90,0.0
73,MI,True,82,0,82,0.0
74,ME,True,90,0,90,0.0
74,MI,True,90,0,90,0.0
75,ME,True,90,21,69,0.23333333333333334
75,MI,True,90,23,67,0.25555555555555554
76,ME,True,83,0,83,0.0
76,MI,True,90,0,90,0.0
77,ME,True,90,27,63,0.3
77,MI,True,90,3,87,0.03333333333333333
78,ME,True,90,2,88,0.022222222222222223
78,MI,True,81,1,80,0.012345679012345678
79,ME,True,90,22,68,0.24444444444444444
79,MI,True,90,21,69,0.23333333333333334
80,ME,True,90,5,85,0.05555555555555555
80,MI,True,90,4,86,0.044444444444444446
81,ME,True,90,0,90,0.0
81,MI,True,90,0,90,0.0
82,ME,True,90,0,90,0.0
82,MI,True,90,0,90,0.0
83,ME,True,90,5,85,0.05555555555555555
83,MI,True,90,4,86,0.044444444444444446
84,ME,True,90,3,87,0.03333333333333333
84,MI,True,90,1,89,0.011111111111111112
85,ME,True,90,1,89,0.011111111111111112
85,MI,True,90,6,84,0.06666666666666667
86,ME,True,90,20,70,0.2222222222222222
86,MI,True,90,3,87,0.03333333333333333
87,ME,True,90,6,84,0.06666666666666667
87,MI,True,90,2,88,0.022222222222222223
88,ME,True,108,7,101,0.06481481481481481
88,MI,True,104,8,96,0.07692307692307693
89,ME,True,97,0,97,0.0
89,MI,True,90,0,90,0.0
90,ME,True,90,2,88,0.022222222222222223
90,MI,True,90,2,88,0.022222222222222223
91,ME,True,77,15,62,0.19480519480519481
91,MI,True,90,4,86,0.044444444444444446
92,ME,True,108,14,94,0.12962962962962962
92,MI,True,108,31,77,0.28703703703703703
93,ME,True,80,1,79,0.0125
93,MI,True,90,0,90,0.0
94,ME,True,90,4,86,0.044444444444444446
94,MI,True,90,5,85,0.05555555555555555
95,ME,True,90,26,64,0.28888888888888886
95,MI,True,90,30,60,0.3333333333333333
96,ME,True,90,16,74,0.17777777777777778
96,MI,True,84,20,64,0.23809523809523808
97,ME,True,90,1,89,0.011111111111111112
97,MI,True,78,4,74,0.05128205128205128
98,ME,True,90,0,90,0.0
98,MI,True,90,0,90,0.0
99,ME,True,90,50,40,0.5555555555555556
99,MI,True,90,55,35,0.6111111111111112
100,ME,True,72,2,70,0.027777777777777776
100,MI,True,64,4,60,0.0625
101,ME,True,90,0,90,0.0
101,MI,True,90,0,90,0.0
102,ME,True,90,0,90,0.0
102,MI,True,90,0,90,0.0
103,ME,True,85,2,83,0.023529411764705882
103,MI,True,90,7,83,0.07777777777777778
104,ME,True,90,1,89,0.011111111111111112
104,MI,True,87,0,87,0.0
105,ME,True,90,21,69,0.23333333333333334
105,MI,True,90,0,90,0.0
106,ME,True,77,2,75,0.025974025974025976
106,MI,True,90,2,88,0.022222222222222223
107,ME,True,90,14,76,0.15555555555555556
107,MI,True,90,8,82,0.08888888888888889
108,ME,True,90,13,77,0.14444444444444443
108,MI,True,90,25,65,0.2777777777777778
109,ME,False,90,90,0,1.0
109,MI,False,90,90,0,1.0
