subject,structural_ok,n_me_epochs,n_mi_epochs,n_usable_matched_pairs,n_unilateral_pairs,n_bilateral_pairs,movements_me,movements_mi,eligible_primary,eligible_min20,eligible_min40,eligible_strict,reason_codes,reason_detail,n_left_fist_me,n_left_fist_mi,n_right_fist_me,n_right_fist_mi,n_both_fists_me,n_both_fists_mi,n_both_feet_me,n_both_feet_mi,usable_pair_ids,e02_left_fist_n_me,e02_left_fist_n_mi,e02_left_fist_n_pairs,e02_left_fist_eligible,e02_left_fist_reasons,e02_right_fist_n_me,e02_right_fist_n_mi,e02_right_fist_n_pairs,e02_right_fist_eligible,e02_right_fist_reasons,e02_both_fists_n_me,e02_both_fists_n_mi,e02_both_fists_n_pairs,e02_both_fists_eligible,e02_both_fists_reasons,e02_both_feet_n_me,e02_both_feet_n_mi,e02_both_feet_n_pairs,e02_both_feet_eligible,e02_both_feet_reasons,e02_unilateral_n_me,e02_unilateral_n_mi,e02_unilateral_n_pairs,e02_unilateral_eligible,e02_unilateral_reasons,e02_bilateral_n_me,e02_bilateral_n_mi,e02_bilateral_n_pairs,e02_bilateral_eligible,e02_bilateral_reasons,strict_all_runs_valid,strict_reasons,expected_left_fist_me,frac_left_fist_me,expected_left_fist_mi,frac_left_fist_mi,expected_right_fist_me,frac_right_fist_me,expected_right_fist_mi,frac_right_fist_mi,expected_both_fists_me,frac_both_fists_me,expected_both_fists_mi,frac_both_fists_mi,expected_both_feet_me,frac_both_feet_me,expected_both_feet_mi,frac_both_feet_mi
18,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,22,23,23,24,22,21,23,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,24,22,3,True,ELIGIBLE,21,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,23.0,1.0
19,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,24,23,21,22,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,24,23,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,24.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
20,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,21,23,24,22,21,23,24,22,03-04|05-06|07-08|09-10|11-12|13-14,21,23,3,True,ELIGIBLE,24,22,3,True,ELIGIBLE,21,23,3,True,ELIGIBLE,24,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,21.0,1.0,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,23.0,1.0,24.0,1.0,22.0,1.0
21,True,90,86,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,24,24,21,21,22,21,23,20,03-04|05-06|07-08|09-10|11-12|13-14,24,24,3,True,ELIGIBLE,21,21,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,23,20,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,41,3,True,ELIGIBLE,True,ELIGIBLE,24.0,1.0,24.0,1.0,21.0,1.0,21.0,1.0,22.0,1.0,22.0,0.9545454545454546,23.0,1.0,20.0,1.0
22,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,22,22,23,22,21,23,24,03-04|05-06|07-08|09-10|11-12|13-14,23,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,23,24,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,22.0,1.0,21.0,1.0,23.0,1.0,24.0,1.0
23,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,22,23,23,23,23,22,22,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0
24,True,81,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,18,22,18,23,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,18,22,3,True,ELIGIBLE,18,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,36,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,18.0,1.0,22.0,1.0,18.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
25,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,22,22,23,21,24,24,21,03-04|05-06|07-08|09-10|11-12|13-14,23,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,21,24,3,True,ELIGIBLE,24,21,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,21.0,1.0,24.0,1.0,24.0,1.0,21.0,1.0
26,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,24,22,21,23,21,22,24,03-04|05-06|07-08|09-10|11-12|13-14,23,24,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0
27,True,76,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,17,23,14,22,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,17,23,3,True,ELIGIBLE,14,22,2,False,INSUFFICIENT_MOVEMENT_ME,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,31,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,17.0,1.0,23.0,1.0,15.0,0.9333333333333333,22.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
28,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,22,22,23,24,23,21,22,03-04|05-06|07-08|09-10|11-12|13-14,23,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,24,23,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,24.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0
29,True,90,83,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,22,20,23,18,23,22,22,23,03-04|05-06|07-08|09-10|11-12|13-14,22,20,3,True,ELIGIBLE,23,18,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,45,38,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,22.0,1.0,20.0,1.0,23.0,1.0,18.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0
30,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,24,23,21,22,24,23,21,03-04|05-06|07-08|09-10|11-12|13-14,22,24,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,24.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0,23.0,1.0,21.0,1.0
31,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,22,22,23,21,23,24,22,03-04|05-06|07-08|09-10|11-12|13-14,23,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,21,23,3,True,ELIGIBLE,24,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,21.0,1.0,23.0,1.0,24.0,1.0,22.0,1.0
32,True,90,79,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,23,16,22,18,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,23,16,3,True,ELIGIBLE,22,18,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,34,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,23.0,1.0,16.0,1.0,22.0,1.0,18.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
33,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,21,23,24,22,21,22,24,23,03-04|05-06|07-08|09-10|11-12|13-14,21,23,3,True,ELIGIBLE,24,22,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,24,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,21.0,1.0,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0,23.0,1.0
34,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,21,22,24,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,23,21,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
35,True,82,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,17,22,20,23,22,24,23,21,03-04|05-06|07-08|09-10|11-12|13-14,17,22,3,True,ELIGIBLE,20,23,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,37,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,18.0,0.9444444444444444,22.0,1.0,20.0,1.0,23.0,1.0,22.0,1.0,24.0,1.0,23.0,1.0,21.0,1.0
36,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,23,22,22,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
37,True,75,75,5,3,2,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,23,23,22,22,15,15,15,15,03-04|05-06|07-08|09-10|11-12,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,15,15,2,True,ELIGIBLE,15,15,2,True,ELIGIBLE,45,45,3,True,ELIGIBLE,30,30,2,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,16.0,0.9375,22.0,0.6818181818181818,15.0,1.0,23.0,0.6521739130434783
38,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,23,22,22,23,23,22,22,03-04|05-06|07-08|09-10|11-12|13-14,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0
39,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,23,22,22,23,23,22,22,03-04|05-06|07-08|09-10|11-12|13-14,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0
40,True,90,80,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,23,16,22,19,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,23,16,3,True,ELIGIBLE,22,19,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,35,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,23.0,1.0,16.0,1.0,22.0,1.0,19.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
41,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,24,23,21,22,23,23,22,03-04|05-06|07-08|09-10|11-12|13-14,22,24,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,24.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0
